Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2017-05-16,295.8295593261719,300.32271935054337,292.4923765243663,293.5938701994747,12655992
2017-05-17,295.13153076171875,297.9343025705111,293.9646046150187,295.10971987449096,9844573
2017-05-18,289.51507568359375,294.4553728265061,288.806207267769,292.3287675790319,9790379
2017-05-19,287.6611633300781,291.3364007680988,285.7308555946252,290.74750664949414,12813204
2017-05-22,288.8171081542969,290.87830992955304,286.8649899421859,289.32967859703115,8801430
2017-05-23,284.7602233886719,290.06044510595825,283.98592212742875,289.1552493667427,9223001
2017-05-24,283.0479736328125,286.53783236317406,282.48089051713663,285.1854990011535,14326531
2017-05-25,284.08404541015625,286.2542726351033,282.77533377620387,283.5496640476299,25922008
2017-05-26,291.6854248046875,293.2340274571989,283.549728075242,284.41127298079306,21430443
2017-05-29,295.96038818359375,297.82526281349783,291.31452337504686,291.61990493129684,24022633
2017-05-30,296.4947814941406,297.661707745534,294.1282272175831,295.7422912572665,9658309
2017-05-31,292.4269104003906,298.3705667958535,291.35814774403406,298.16334879512783,16423338
2017-06-01,289.71136474609375,292.27421679202376,288.566278608131,290.68199290647254,9534069
2017-06-02,288.9480285644531,291.9907500279187,287.2576406936465,291.1837178748836,11495005
2017-06-05,289.9513244628906,292.4923659717972,287.00679604519996,289.27518686653826,10835031
2017-06-06,286.34149169921875,290.95462555823025,285.94889571462613,290.95462555823025,9591064
2017-06-07,292.0561828613281,292.71053876522075,285.5127403024704,285.9925799439791,11199223
2017-06-08,290.4638977050781,293.3212117091364,289.6677856450208,292.2742598493302,7903123
2017-06-09,291.3363342285156,295.0988143803336,290.3111933583966,293.3866159687537,13836547
2017-06-12,287.7919921875,290.0386012706135,287.2576108098692,289.34062365411125,8432435
2017-06-13,286.6795349121094,289.43868466224626,285.94885570523627,288.0427589034436,6025338
2017-06-14,296.0912780761719,296.6365503289753,287.01768570940146,287.01768570940146,52939271
2017-06-15,301.8604431152344,304.27061946783266,296.440276323375,296.63657435028017,28290813
2017-06-16,302.9182434082031,304.4450345986029,298.66497489778385,302.98367606836274,32710880
2017-06-19,307.3786926269531,308.80734948455836,303.22361650339326,303.22361650339326,15236956
2017-06-20,308.0548400878906,310.18147435564464,306.9860775123038,307.3241608184605,10142474
2017-06-21,310.1596984863281,311.4683809650011,306.2881345935681,307.06246484412753,19992472
2017-06-22,312.4826354980469,315.26359672528025,311.40295278158476,311.78465791003055,22118609
2017-06-23,313.1806640625,314.5220777975321,312.0355775043177,313.2133949653151,31143289
2017-06-27,313.4641418457031,314.7401226352008,310.8140458182937,312.34086641154175,32591540
2017-06-28,305.03399658203125,314.0748578010965,304.390560781689,314.0748578010965,15567803
2017-06-29,303.7689208984375,307.5423214382329,303.2018377449507,305.3611741463324,12898245
2017-06-30,300.9988708496094,303.70347943566975,299.91918812016473,303.61623587612024,7814271
2017-07-03,301.2279357910156,304.2052248246952,299.0358972031626,302.7874584353175,9195278
2017-07-04,310.1488342285156,311.27213890995654,302.9619556286716,303.1800645609851,18816782
2017-07-05,314.66387939453125,315.71083153827016,310.5960161893657,311.78475371924384,27209010
2017-07-06,314.6419677734375,316.2669227096757,313.6495286282109,315.98335202817526,13590313
2017-07-07,325.24237060546875,326.681918508177,314.0857942794407,314.7401209988471,35845310
2017-07-10,325.6131286621094,327.3689780131679,324.79520577087874,326.1038882208501,3504540
2017-07-11,325.9403381347656,328.1323762569308,324.3371940418335,327.3908059978966,20995547
2017-07-12,329.5937194824219,332.62552013786365,326.62735148803216,327.0417583413621,17104482
2017-07-13,334.6322021484375,335.2697754999661,331.12560741803645,331.6972279419762,23010262
2017-07-14,337.1934509277344,337.6881118210563,333.192195228486,334.17053955271354,20530867
2017-07-17,341.1507263183594,342.8765359785552,337.9079429402156,337.9079429402156,18749450
2017-07-18,334.1485595703125,341.16171992078336,332.1919002482174,340.06247673833155,19640167
2017-07-19,337.0175476074219,338.12779749377114,332.5436156776203,332.5436156776203,11790198
2017-07-20,336.1271667480469,340.7659660180265,334.9839257847286,338.51250452999676,13626050
2017-07-21,348.460693359375,349.93366907014655,339.6557421270225,340.7659626407307,97142371
2017-07-24,355.1111755371094,357.23270229695584,348.46074095327907,351.75847056104095,43429394
2017-07-25,352.2311706542969,357.24373290663556,351.2308419559244,357.1887575346673,20063064
2017-07-26,356.75994873046875,358.33186822579177,352.0002216999382,352.6817634921406,21954323
2017-07-27,350.615234375,358.6836689403043,349.19720457864884,357.9142192981585,18409364
2017-07-28,350.5382385253906,353.06651800007035,346.9217228506224,349.83471243088417,14331863
2017-07-31,355.1001281738281,355.8915914077348,350.8790300616609,352.18713842233285,16567422
2017-08-01,352.5498962402344,356.7599875705959,349.8897109501536,356.7599875705959,12311920
2017-08-02,358.17803955078125,359.6070468448205,353.53921054903253,353.9569411452772,20786240
2017-08-03,362.7728576660156,366.0266478093563,355.5068639103855,357.6613815881096,19707381
2017-08-04,356.62811279296875,365.60893926253345,355.0781772670211,365.60893926253345,18579866
2017-08-07,355.3529968261719,358.7056723964085,354.5175649613818,358.7056723964085,9537088
2017-08-08,352.31903076171875,356.38623879868186,348.85640492672985,355.715703775665,10961296
2017-08-09,351.49456787109375,356.15538053490036,348.4606794743653,352.0881725974534,10436651
2017-08-10,348.31781005859375,353.2204503327047,346.9107870521037,350.2305007613479,10188164
2017-08-11,339.9415588378906,347.36144256565643,337.02853961889866,340.9748491325664,16996281
2017-08-14,345.8334655761719,348.3507382987404,343.1842872111325,343.1842872111325,13440617
2017-08-16,344.3055725097656,346.4820744945461,340.8099552875706,345.602674120104,13576650
2017-08-17,344.5254211425781,351.2418082296169,343.21731269638735,344.9431223855997,15828719
2017-08-18,346.3501892089844,346.8778412499965,341.4585551099161,343.8439227308212,7935890
2017-08-21,343.93182373046875,348.27385040535904,343.01946158325046,346.7019306140107,7573558
2017-08-22,342.9754638671875,347.33944509592527,342.09606353362403,345.60265805485136,9533641
2017-08-23,347.8121337890625,348.8014555298424,341.45850211335465,344.03075037998343,8320052
2017-08-24,344.7342834472656,350.24150642672447,343.9538269156672,349.5599938202114,12654347
2017-08-28,344.4044494628906,347.79011558597875,343.228246820904,347.1525716639717,12316426
2017-08-29,336.8417053222656,344.61336720844696,336.3690287013287,343.37121155779795,15164812
2017-08-30,343.8658752441406,344.89916560047584,338.8423359367572,340.22737472026887,10334911
2017-08-31,350.5492858886719,351.1978366994043,346.04236259993326,346.2622053575539,25104625
2017-09-01,353.9789123535156,355.4079195948004,351.53859910026716,351.7254507639491,15431918
2017-09-04,354.69342041015625,359.70598198220995,350.8460547912308,355.16609700920856,21560532
2017-09-05,358.9255065917969,359.42016744025676,356.3862495264694,358.35388610738715,25216776
2017-09-06,361.7395324707031,363.30047456598976,356.77096933714165,357.5624031698509,48745984
2017-09-07,359.7169189453125,366.0485950376591,358.353864666123,361.8714657564821,16205339
2017-09-08,359.1893310546875,361.9814220530865,357.07878193740225,360.5523854654127,13248413
2017-09-11,359.6289978027344,363.5643002551419,359.0354224046733,361.1239871378895,12690592
2017-09-12,362.2012634277344,362.7508703043641,359.23329823942754,361.7615485749285,6500191
2017-09-13,373.30364990234375,378.0963393329069,361.4317889996409,362.3111893648229,29377106
2017-09-14,371.0391845703125,378.7998686425318,370.22576637590083,376.29360252971753,11867640
2017-09-15,370.1378173828125,374.99645952368064,367.0379465789162,370.225754482086,28595395
2017-09-18,371.78668212890625,374.2050405095932,370.70942326846944,373.74334136854714,5061995
2017-09-19,368.7307434082031,373.193697691398,368.02724665538426,373.1717134178724,7718697
2017-09-20,372.490234375,383.6365857978323,371.58884965701105,376.4255374054256,24942703
2017-09-21,369.93994140625,374.490833196917,367.6974865999516,372.4242525947984,12950541
2017-09-22,359.4091796875,369.3023971813547,357.56244184178007,369.3023971813547,12294087
2017-09-25,361.23394775390625,364.048023186431,354.04488391361116,358.3539194922093,14229631
2017-09-26,360.59637451171875,363.65227698559784,357.1227707862714,361.2999007079691,10564143
2017-09-27,351.3846740722656,363.05867624502605,349.7797926554231,363.0147076952907,18448855
2017-09-28,345.800537109375,353.03356932788677,343.05241457234666,351.6045620454738,29547622
2017-09-29,343.3602294921875,348.8564453060825,342.5687661965656,348.1309348391371,16666208
2017-10-03,351.03289794921875,353.45122669666364,345.31681082607685,349.55992229792037,18345748
2017-10-04,360.0467529296875,362.72889324399273,349.8237713060179,351.4066684936975,18907611
2017-10-05,362.37713623046875,364.2678425817863,359.95880727962185,362.7508689051354,10631751
2017-10-06,368.0492248535156,369.06053077049916,361.6955644489999,362.3111534490549,12997688
2017-10-09,365.23516845703125,369.2584080569421,364.0699725684971,368.90663031690275,8850408
2017-10-10,370.7533874511719,372.5561567397226,365.3890774878893,365.3890774878893,14732024
2017-10-11,369.4122619628906,377.43675610611996,367.58750867224154,371.6767006963476,15420644
2017-10-12,383.7464904785156,385.5272755597401,370.2697475528312,370.2697475528312,18642942
2017-10-13,385.37335205078125,391.6390468293051,384.0102975852104,386.6265144876887,21509701
2017-10-16,385.5271911621094,392.21058579541966,378.7118615485322,386.4945284579171,32009221
2017-10-17,384.45001220703125,388.6930948847174,381.30614333029655,386.0548937079238,13898844
2017-10-18,402.1038513183594,403.59881131458104,384.7357757350589,385.79105024753915,36671941
2017-10-19,400.0812683105469,405.3576412543577,397.0473501989178,402.6754715551483,8014767
2017-10-23,413.20623779296875,415.38276917369177,399.72949502172276,401.4003587024283,27455320
2017-10-24,410.7878723144531,416.7018181492623,408.1277164485432,416.7018181492623,13857773
2017-10-25,413.2721862792969,415.91035788990115,408.699310481948,413.36012337621696,10011782
2017-10-26,416.5699462890625,421.14279307324165,409.3588983475855,413.3161854077807,16840049
2017-10-27,408.8532409667969,420.6591496176772,407.02848732165654,417.71316852405994,11498547
2017-10-30,414.41546630859375,415.75653660952963,409.1830614205014,410.6780216664539,7823263
2017-10-31,413.6899108886719,415.8444285880789,409.886513825748,415.4926801805031,9504986
2017-11-01,418.8343505859375,421.14275806197656,415.84440126350086,416.7238015761588,17571371
2017-11-02,416.2181396484375,420.57117272355947,415.1848494033608,418.94427772003394,10277678
2017-11-03,415.6465759277344,420.32934407515495,413.38213681925845,420.32934407515495,4798537
2017-11-06,410.0184020996094,414.41540376544935,408.4794735301914,414.41540376544935,9757496
2017-11-07,398.67425537109375,411.1177089086464,397.06937372926603,410.39222773630917,20447574
2017-11-08,390.3639221191406,398.3664332566556,388.7370563717959,396.82750461178887,17752793
2017-11-09,395.9481201171875,400.08128150544513,392.23265998245427,393.4198402650277,15007224
2017-11-10,388.6271057128906,396.14593286877397,386.5825095313214,396.14593286877397,13923102
2017-11-13,384.8457336425781,392.16670310241875,384.0762546214768,389.1327849220655,9088619
2017-11-14,389.8802490234375,393.52972665263053,383.8563816887379,384.73578202209205,12481463
2017-11-15,388.5612487792969,391.59513803790196,386.03296859511545,388.9129972495101,15272059
2017-11-16,397.42108154296875,398.3664347496524,389.3526175483563,389.3526175483563,15160866
